receiptId;userEmail;customerName;createdAt;totalAmount;ticketIds
R-1001;test@test.de;test test;2026-07-26T10:13:27.703281600;96.0;T-1004|T-1005
R-1002;test@test.de;test test;2026-07-26T10:16:54.499516300;160.0;T-1006|T-1007
R-1003;test@test.de;test test;2026-07-26T10:21:24.095089800;144.0;T-1008|T-1009
R-1004;test@test.de;test test;2026-07-26T10:22:13.699234200;144.0;T-1010|T-1011
R-1005;test@test.de;test test;2026-07-26T11:54:47.242615900;86.4;T-1012|T-1013
R-1006;test@test.de;test test;2026-07-26T14:10:41.715817100;192.0;T-1014|T-1015
R-1007;test@test.de;test test;2026-07-26T18:16:42.373625400;172.8;T-1016|T-1017
R-1008;test@test.de;test test;2026-07-26T22:09:06.012183800;360.0;T-1018|T-1019|T-1020
R-1009;test@test.de;test test;2026-07-26T22:11:16.951964700;400.0;T-1021|T-1022|T-1023|T-1024
R-1010;test@test.de;test test;2026-07-26T22:31:11.863481300;300.0;T-1025|T-1026
R-1011;test@test.de;test test;2026-07-26T22:31:33.750595400;360.0;T-1027|T-1028
R-1012;lukas.beck@bsr.de;Lukas Beck;2026-07-29T13:44:40.065496400;120.0;T-1004
R-1013;lukas.beck@bsr.de;Lukas Beck;2026-07-29T14:46:48.940559400;1000.0;T-1004|T-1005|T-1006|T-1007|T-1008|T-1009|T-1010|T-1011|T-1012|T-1013
R-1014;lukas.beck@bsr.de;Lukas Beck;2026-07-29T14:52:46.426178600;500.0;T-1014|T-1015|T-1016|T-1017|T-1018
R-1015;lukas.beck@bsr.de;Lukas Beck;2026-07-29T15:01:59.663508900;300.0;T-1019|T-1020|T-1021
