ticketId;eventId;sectionName;customerId;customerFirstName;customerLastName;customerType;finalPrice;seatInfo;userEmail
T-1008;3;Block 2;6;test;test;STANDARD;96.0;Reihe 5, Platz 14;test@test.de
T-1009;3;Block 1;7;test;test;STANDARD;96.0;Reihe 8, Platz 11;test@test.de
T-1010;3;Block 2;8;hayat;van eck;STANDARD;96.0;Reihe 4, Platz 6;vaneckhayat@gmail.com
T-1011;3;Block 2;9;hayat;van eck;STANDARD;96.0;Reihe 4, Platz 7;vaneckhayat@gmail.com
T-1012;3;Block 2;10;hayat;van eck;STANDARD;96.0;Reihe 4, Platz 8;vaneckhayat@gmail.com
T-1013;3;Block 2;11;hayat;van eck;STANDARD;96.0;Reihe 4, Platz 9;vaneckhayat@gmail.com
T-1007;3;Block 1;1;test;test;STANDARD;96.0;Reihe 3, Platz 14;test@test.de
T-1008;2;Block 2;1;test;test;STANDARD;180.0;Reihe 3, Platz 7;test@test.de
T-1009;3;Block 2;2;test;test;STANDARD;96.0;Reihe 10, Platz 14;test@test.de
T-1010;2;Block 2;1;test;test;STANDARD;180.0;Reihe 1, Platz 9;test@test.de
T-1011;2;Block 2;2;test;test;SENIOR;125.99999999999999;Reihe 1, Platz 10;test@test.de
T-1012;3;Block 2;3;test;test;STUDENT;76.80000000000001;Reihe 9, Platz 14;test@test.de
T-1013;3;Block 1;1;test;test;STUDENT;76.80000000000001;Reihe 8, Platz 10;test@test.de
