ticketId;eventId;sectionName;customerId;customerFirstName;customerLastName;customerType;finalPrice,seatInfo;userEmail
T-1001;1;Innenraum (Stehplatz);1;Gian-Luca;Levels;REGULAR;100.0;Freie Platzwahl (Stehplatz);gian-luca.levels@bsr.de
T-1003;1;Innenraum (Stehplatz);1;Gian-Luca;Levels;REGULAR;100.0;Freie Platzwahl (Stehplatz);gian-luca.levels@bsr.de
T-1003;1;Block 2;1;Gian-Luca;Levels;Standard;120.0;Reihe 8, Platz 8;gian-luca.levels@bsr.de
T-1004;1;Block 2;2;Gian-Luca;Levels;Standard;120.0;Reihe 8, Platz 9;gian-luca.levels@bsr.de
T-1005;1;Innenraum (Stehplatz);1;Gian-Luca;Levels;Student;100.0;Freie Platzwahl (Stehplatz);gian-luca.levels@bsr.de
T-1006;1;Block 2;1;Gian-Luca;Levels;Standard;120.0;Reihe 3, Platz 8;gian-luca.levels@bsr.de
T-1007;1;Block 2;2;Gian-Luca;Levels;Standard;120.0;Reihe 3, Platz 9;gian-luca.levels@bsr.de
T-1009;1;Block 2;4;Gian-Luca;Levels;Standard;120.0;Reihe 7, Platz 9;gian-luca.levels@bsr.de
T-1009;1;Innenraum (Stehplatz);1;Gian-Luca;Levels;Standard;100.0;Freie Platzwahl (Stehplatz);gian-luca.levels@bsr.de
T-1010;1;Block 2;2;Gian-Luca;Levels;Standard;120.0;Reihe 2, Platz 8;gian-luca.levels@bsr.de
T-1011;1;Block 2;3;Gian-Luca;Levels;Standard;120.0;Reihe 2, Platz 9;gian-luca.levels@bsr.de
